"","id","name","date_from","date_to","lat_end","lon_end","species_count","taxon_count","record_count","imis_dasid","date_last_harvested"
"108",521,"Bluefish",1966,1983,-5.583,-6.65,122,156,5426,986,"10/7/2016 11:44:35"
"109",2403,"Bluefish",1951,2011,73,179.989,1325,2115,12151,3869,"10/7/2011 0:00:00"
"110",482,"Bluefish",2003,2004,-22.962,-44.099,522,636,7012,3708,"10/10/2016 12:30:44"
"111",3015,"Bluefish",2009,2009,-26.89,32.88,1103,1190,1194,4563,"10/4/2016 16:15:13"
"112",517,"Bluefish",2003,2005,-43.317,-62.867,77,90,170192,3940,"10/7/2016 11:47:38"
"113",3508,"Bluefish",1996,2013,40.357,-24.278,143,153,9837,230,"9/29/2016 8:34:51"
"114",90,"Bluefish",1996,1999,-22.443,-40.291,162,189,1886,3719,"10/10/2016 13:07:27"
"115",2319,"Bluefish",1875,2009,88.85,165.895,1090,2255,169236,3943,"2/17/2011 0:00:00"
"116",1435,"Bluefish",1948,2008,44.867,-63.333,723,1033,460938,3406,"5/21/2009 0:00:00"
"117",3558,"Bluefish",2000,2002,-9.25,167.75,372,390,60445,3964,"9/30/2016 13:26:53"
"118",2932,"Bluefish",0,0,0.167,-34.817,251,256,2844,3704,"10/10/2016 13:22:48"
"119",2415,"Bluefish",1826,2011,80,180,6972,8902,75785,2442,"11/3/2010 0:00:00"
"120",3586,"Bluefish",1977,2012,41.56,-16.6,386,566,7267,4493,"9/28/2016 17:45:34"
"121",522,"Bluefish",1954,2005,59.85,74.767,108,119,1036,3919,"10/7/2016 11:54:05"
"122",168,"Bluefish",1985,2005,-8.813,40.507,166,201,2744958,3764,"12/4/2006 0:00:00"
"123",721,"Bluefish",1804,2005,80.2,180,11716,11829,505852,4354,"3/16/2009 0:00:00"
"124",4262,"Bluefish",2000,2013,39.735,-13.12,15,18,381,4672,"9/28/2016 17:46:33"
"125",2508,"Bluefish",2003,2009,39.891,3.516,103,142,4006,3059,"9/29/2016 5:16:07"
"126",3411,"Bluefish",1986,2008,29.997,-93.757,73,80,10120,4881,"9/30/2016 22:27:30"
"127",3522,"Bluefish",1986,2008,29.996,-93.756,40,42,8985,4987,"9/30/2016 23:56:22"
"128",3470,"Bluefish",1985,1987,9.883,-13.49,122,136,9080,5009,"10/4/2016 18:31:47"
"129",2333,"Bluefish",0,0,-0.024,41.741,2514,2689,3080,3765,"5/22/2011 0:00:00"
"130",3413,"Bluefish",2002,2013,39.302,-75.927,133,164,24348,4882,"4/25/2016 3:28:29"
"131",515,"Bluefish",1961,2006,-34.04,-37.19,297,310,719,3921,"4/24/2016 21:30:31"
"132",3511,"Bluefish",1643,2015,79.964,179.803,4475,6521,85257,5006,"4/25/2016 6:26:53"
"133",2567,"Bluefish",1970,2001,12.5,-71.88,337,450,2231,3155,"9/28/2016 19:06:26"
"134",1496,"Bluefish",1980,2005,51.3,-37.15,73,106,231198,3401,"9/3/2009 0:00:00"
"135",4279,"Bluefish",1938,2014,63.833,-8.551,232,346,375278,5562,"9/30/2016 23:06:22"
"136",36,"Bluefish",0,0,44.85,-65.4,2145,2294,2381,4107,"8/15/2007 0:00:00"
"137",2417,"Bluefish",1891,2011,86.017,179.756,4043,6034,104844,4017,"10/6/2011 0:00:00"
"138",2419,"Bluefish",1975,2010,60.22,174.784,761,788,2874,4015,"9/28/2016 22:38:13"
"139",1693,"Bluefish",2000,2009,44.776,-66.928,125,147,38661,3829,"9/15/2010 0:00:00"
"140",38,"Bluefish",1970,1995,69.53,-6.57,266,273,466736,4106,"8/10/2007 0:00:00"
